Number,Frage,Antwort
1156,"Aber, Mama, ich bin nicht schmutzig.",Du brauchst jeden Tag ein Bad.
1157,Du brauchst jeden Tag ein Bad.,Warum?
1158,why?,weil du nicht schlecht riechen willst.
1159,weil du nicht schlecht riechen willst.,Ich rieche nicht schlecht.
1160,Ich rieche nicht schlecht.,das ist was du denkst.
1161,das ist was du denkst.,"Wenn ich schlecht roch, konnte ich mich riechen."
1162,"Wenn ich schlecht roch, konnte ich mich riechen.",Ich kann dich riechen.
1163,Ich kann dich riechen.,Ich kann dich auch riechen.
1164,Ich kann dich auch riechen.,das ist mein Parfüm.
1165,das ist mein Parfüm.,Wann kann ich Parfüm tragen?
1166,Mit meinem Computer stimmt etwas nicht.,genau was?
1167,genau was?,"Alles, was ich bekomme, ist ein schwarzer Bildschirm."
1168,"Alles, was ich bekomme, ist ein schwarzer Bildschirm.",Was ist los?
1169,Was ist los?,"Ich glaube, ich weiß es, weil das schon einmal passiert ist."
1170,"Ich glaube, ich weiß es, weil das schon einmal passiert ist.",Was ist vorher passiert?
1171,Was ist vorher passiert?,meine Festplatte ist abgestürzt.
1172,meine Festplatte ist abgestürzt.,Ach nein. Das sind schlechte Nachrichten.
1173,Ach nein. Das sind schlechte Nachrichten.,"Das ist es sicher, aber ich werde zuerst HP anrufen, nur um sicherzugehen."
1174,"Das ist es sicher, aber ich werde zuerst HP anrufen, nur um sicherzugehen.",Verlieren Sie alle Ihre Dateien?
1175,Verlieren Sie alle Ihre Dateien?,"Nein, ich sichere immer meine Dateien."
1176,"Nein, ich sichere immer meine Dateien.",Du bist schlau.
1177,Ich habe HP wegen meines Computers angerufen.,Was haben sie gesagt?
1178,Was haben sie gesagt?,"Sie sagten, ich brauche eine neue Festplatte."
1179,"Sie sagten, ich brauche eine neue Festplatte.",das ist sehr schade. Wie viel kostet ein neues?
1180,das ist sehr schade. Wie viel kostet ein neues?,"Es ist nicht zu viel, nur etwa 85 $."
1181,"Es ist nicht zu viel, nur etwa 85 $.",plus Installation?
1182,plus Installation?,"Nein, meine Festplatte lässt sich leicht entfernen und austauschen."
1183,"Nein, meine Festplatte lässt sich leicht entfernen und austauschen.",Wirklich?
1184,really?,"Ja, es sind nur ein paar Schrauben."
1185,"Ja, es sind nur ein paar Schrauben.",Freut mich.
1186,that's nice.,"Es ist viel besser, als jemandem 60 Dollar zu zahlen."
1187,"Es ist viel besser, als jemandem 60 Dollar zu zahlen.","Wenn meine Festplatte abstürzt, rufe ich dich einfach an."
1188,Was ist Ihre E-Mail-Adresse?,Es ist bluedog123.
1189,Es ist bluedog123.,"bluedog123. Bist du sicher, dass das alles ist?"
1190,"bluedog123. Bist du sicher, dass das alles ist?",Ja.
1191,Ja.,NEIN. das ist unvollständig.
1192,NEIN. das ist unvollständig.,Wie meinst du das?
1193,what do you mean?,Wie lautet Ihre Postanschrift?
1194,Wie lautet Ihre Postanschrift?,"456 Cherry Drive, Pasadena, ca. 91170."
1195,"456 Cherry Drive, Pasadena, ca. 91170.",das ist richtig.
1196,das ist richtig.,"also, was ist das Problem?"
1197,"also, was ist das Problem?","bluedog123 ist nur die Straße. Sie müssen mir die Stadt, das Bundesland und die Postleitzahl mitteilen."
1198,"bluedog123 ist nur die Straße. Sie müssen mir die Stadt, das Bundesland und die Postleitzahl mitteilen.","Oh, ich verstehe. Meine E-Mail-Adresse lautet bluedog123@yahoo.com."
1199,Ich werde ein Nickerchen machen.,Sie sollten das Telefon ausstecken.
1200,Sie sollten das Telefon ausstecken.,das ist eine gute Idee.
1201,that's a good idea.,Soll ich dich in einer Stunde wecken?
1202,Soll ich dich in einer Stunde wecken?,"Nein danke. Lass mich einfach schlafen, bis ich aufwache."
1203,"Nein danke. Lass mich einfach schlafen, bis ich aufwache.",Ich fange um 6:00 Uhr mit dem Abendessen an.
1204,Ich fange um 6:00 Uhr mit dem Abendessen an.,"Okay. Ich glaube, bis dahin werde ich wach sein."
1205,"Okay. Ich glaube, bis dahin werde ich wach sein.","Wenn nicht, wird Sie Ihre Nase wecken."
1206,"Wenn nicht, wird Sie Ihre Nase wecken.","Heißt das, ich werde den Geruch des kochenden Essens riechen?"
1207,"Heißt das, ich werde den Geruch des kochenden Essens riechen?",Vielleicht träumen Sie sogar vom Abendessen.
1208,Vielleicht träumen Sie sogar vom Abendessen.,"Ich glaube nicht, dass ich von irgendetwas träumen werde. ich bin echt müde."
1209,"Ich glaube nicht, dass ich von irgendetwas träumen werde. ich bin echt müde.",mach ein schönes Nickerchen.
1210,das war eine schöne Beerdigung.,"Ja, Papa, das war es."
1211,"Ja, Papa, das war es.",Der Sohn hielt eine nette Rede über seinen Vater.
1212,Der Sohn hielt eine nette Rede über seinen Vater.,es war auch lang.
1213,es war auch lang.,"Ich glaube, es war ungefähr 45 Minuten lang."
1214,"Ich glaube, es war ungefähr 45 Minuten lang.",aber es ging schnell vorbei. es war interessant.
1215,aber es ging schnell vorbei. es war interessant.,Ich mochte es.
1216,Ich mochte es.,Eine solche Rede werde ich Ihnen auch halten.
1217,Eine solche Rede werde ich Ihnen auch halten.,"Glaubst du, dass jemand zu meiner Beerdigung kommen wird?"
1218,"Glaubst du, dass jemand zu meiner Beerdigung kommen wird?",Natürlich.
1219,of course.,"Ich denke, nur die Familie wird da sein."
1220,"Ich denke, nur die Familie wird da sein.",Du hast viele Freunde. Sie werden auch da sein!
1221,Huch! Was war das für ein Geräusch?,Ich musste mir die Nase putzen.
1222,Ich musste mir die Nase putzen.,Musstest du direkt neben dem Telefon blasen?
1223,Musstest du direkt neben dem Telefon blasen?,Hast du das gehört?
1224,Hast du das gehört?,"Natürlich habe ich das gehört. Ich dachte, ein Flugzeug wäre in dein Haus abgestürzt."
1225,"Natürlich habe ich das gehört. Ich dachte, ein Flugzeug wäre in dein Haus abgestürzt.",es war nicht so laut.
1226,es war nicht so laut.,"Irgendwann werde ich mir für dich die Nase putzen, und du wirst sehen."
1227,"Irgendwann werde ich mir für dich die Nase putzen, und du wirst sehen.",Okay. Ich werde dich beim Wort nehmen.
1228,Okay. Ich werde dich beim Wort nehmen.,"Ich dachte, du hättest einen Elefanten in deinem Haus."
1229,"Ich dachte, du hättest einen Elefanten in deinem Haus.",du bist lustig.
1230,du bist lustig.,"was hast du gesagt? Ich glaube, ich bin taub geworden."
1231,"was hast du gesagt? Ich glaube, ich bin taub geworden.","Ich gehe ins Badezimmer, um mir die Nase zu putzen. Ich bin gleich wieder da."
1232,ich habe viele Freunde.,Wirklich? wie viele haben Sie?
1233,Wirklich? wie viele haben Sie?,"Ich weiß nicht, vielleicht einhundert."
1234,"Ich weiß nicht, vielleicht einhundert.",Das sind viele Freunde. hast du einen besten Freund?
1235,Das sind viele Freunde. hast du einen besten Freund?,Natürlich. Ich habe viele beste Freunde.
1236,Natürlich. Ich habe viele beste Freunde.,Wie viele beste Freunde hast du?
1237,Wie viele beste Freunde hast du?,Ich denke an fünfundzwanzig.
1238,Ich denke an fünfundzwanzig.,Hmm. Ich habe nur einen besten Freund.
1239,Hmm. Ich habe nur einen besten Freund.,du tust mir leid.
1240,du tust mir leid.,Ich habe nur wenige Freunde.
1241,Ich habe nur wenige Freunde.,Du musst einsam sein. Ich werde meine Freunde mit dir teilen.
1242,Du musst einsam sein. Ich werde meine Freunde mit dir teilen.,Das ist sehr nett von dir.
1243,Betrügst du mich nie?,Warum sollte ich das tun?
1244,Warum sollte ich das tun?,weil Männer gerne betrügen.
1245,weil Männer gerne betrügen.,"Manche Männer tun das, aber ich nicht."
1246,"Manche Männer tun das, aber ich nicht.",Ich beobachte dich.
1247,Ich beobachte dich.,"Ich bin ein offenes Buch. Schau mir zu, so viel du willst."
1248,"Ich bin ein offenes Buch. Schau mir zu, so viel du willst.","Wenn ich dich erwische, wird es dir leid tun."
1249,"Wenn ich dich erwische, wird es dir leid tun.","Du wirst mich nicht erwischen, weil ich dich liebe. Ich bin kein Betrüger."
1250,"Du wirst mich nicht erwischen, weil ich dich liebe. Ich bin kein Betrüger.",Ich werde dir die Augen ausstechen.
1251,Ich werde dir die Augen ausstechen.,Ich will keine andere Frau.
1252,Ich will keine andere Frau.,"Ich werde dir die Zehen abhacken, einen nach dem anderen."
1253,"Ich werde dir die Zehen abhacken, einen nach dem anderen.","Schatz, bitte. Du bist für immer die einzige Frau für mich. Ich schwöre es."
1254,"Ich hasse es, nach draußen zu gehen.",Ich auch.
1255,me too.,"Warum hasst du es, nach draußen zu gehen?"
1256,"Warum hasst du es, nach draußen zu gehen?",Ich treffe zu viele Idioten.
1257,Ich treffe zu viele Idioten.,Ich stimme zu.
1258,Ich stimme zu.,Diese Stadt ist voller Idioten.
1259,Diese Stadt ist voller Idioten.,Unhöfliche Leute sind überall.
1260,Unhöfliche Leute sind überall.,aber was kann man tun?
1261,aber was kann man tun?,du kannst sie anschreien.
1262,du kannst sie anschreien.,und sie werden dich anschreien.
1263,und sie werden dich anschreien.,Schreien bringt nichts.
1264,Schreien bringt nichts.,NEIN. Am besten bleibt man einfach zu Hause.
1265,Wirst du dir dieses Formular ansehen?,hast du Probleme damit?
1266,hast du Probleme damit?,Ich verstehe einige Dinge nicht.
1267,Ich verstehe einige Dinge nicht.,Lass mich dir helfen.
1268,Lass mich dir helfen.,was bedeutet „mi“?
1269,was bedeutet „mi“?,„mi“ steht für mittlere Initiale.
1270,„mi“ steht für mittlere Initiale.,Was bedeutet „MM/TT/JJ“?
1271,Was bedeutet „MM/TT/JJ“?,das bedeutet Monat/Tag/Jahr. Zahlen verwenden.
1272,das bedeutet Monat/Tag/Jahr. Zahlen verwenden.,Ich verstehe nicht.
1273,Ich verstehe nicht.,"Wenn Ihr Geburtsdatum beispielsweise der 12. Januar 1987 ist, schreiben Sie 12.01.87."
1274,"Wenn Ihr Geburtsdatum beispielsweise der 12. Januar 1987 ist, schreiben Sie 12.01.87.",Oh. das ist einfach genug.
1275,Oh. das ist einfach genug.,Drucken Sie immer deutlich und füllen Sie die Blasen vollständig aus.
1276,Lass uns ins Tierheim gehen.,Was möchten Sie tun?
1277,Was möchten Sie tun?,Ich möchte einen Welpen für meinen Sohn bekommen.
1278,Ich möchte einen Welpen für meinen Sohn bekommen.,das wird ihn so glücklich machen.
1279,das wird ihn so glücklich machen.,Ich werde ihm einen dieser kleinen Hunde besorgen.
1280,Ich werde ihm einen dieser kleinen Hunde besorgen.,"eine, die nicht zu groß wird."
1281,"eine, die nicht zu groß wird.",und zu viel essen.
1282,und zu viel essen.,"Weißt du, welches er gerne hätte?"
1283,"Weißt du, welches er gerne hätte?","Oh ja, ich habe ihn gestern dorthin gebracht. Er zeigte mir eines, das ihm wirklich gefiel."
1284,"Oh ja, ich habe ihn gestern dorthin gebracht. Er zeigte mir eines, das ihm wirklich gefiel.","Ich wette, du musstest ihn wegzerren."
1285,"Ich wette, du musstest ihn wegzerren.",er wollte es gestern mit nach Hause nehmen.
1286,er wollte es gestern mit nach Hause nehmen.,"Ich frage mich, wie er es nennen wird."
1287,Wie ist das Wetter?,ich weiß nicht. ich bin gerade aufgewacht.
1288,ich weiß nicht. ich bin gerade aufgewacht.,Warum schaust du nicht nach draußen?
1289,Warum schaust du nicht nach draußen?,Okay. es sieht aus wie Regen.
1290,Okay. es sieht aus wie Regen.,Warum sagst du das?
1291,Warum sagst du das?,der Himmel ist grau.
1292,der Himmel ist grau.,regnet es gerade?
1293,regnet es gerade?,NEIN.
1294,NEIN.,woher weißt du das?
1295,woher weißt du das?,Die Straße ist nicht nass.
1296,Die Straße ist nicht nass.,Ich muss heute einkaufen gehen.
1297,Ich muss heute einkaufen gehen.,Nimm lieber einen Regenschirm mit.
1298,"Ich kann nicht glauben, wie heiß es ist.",es ist noch nicht einmal Mittag.
1299,es ist noch nicht einmal Mittag.,"das bedeutet, dass es heißer wird."
1300,"das bedeutet, dass es heißer wird.",Ich sterbe vor der Hitze.
1301,Ich sterbe vor der Hitze.,Schalten Sie die Klimaanlage ein.
1302,Schalten Sie die Klimaanlage ein.,es funktioniert nicht.
1303,es funktioniert nicht.,was ist passiert?
1304,what happened?,ich weiß nicht.
1305,i don't know.,hast du den Mechaniker angerufen?
1306,hast du den Mechaniker angerufen?,Natürlich.
1307,of course.,Wann kommt er?
1308,Wann kommt er?,er ist beschäftigt. Sagte nächste Woche.
1309,"Ich werde froh sein, wenn der Winter kommt.",Warum das?
1310,why is that?,weil ich den Schnee liebe.
1311,weil ich den Schnee liebe.,"Ja, der Schnee macht Spaß."
1312,"Ja, der Schnee macht Spaß.",Letztes Jahr haben wir einen großen Schneemann gebaut.
1313,Letztes Jahr haben wir einen großen Schneemann gebaut.,Wie groß war es?
1314,Wie groß war es?,es war sieben Fuß hoch.
1315,es war sieben Fuß hoch.,Wie lange hat es gedauert?
1316,Wie lange hat es gedauert?,Wir haben den ganzen Tag dafür gebraucht.
1317,Wir haben den ganzen Tag dafür gebraucht.,Hast du ihm eine Nase gegeben?
1318,Hast du ihm eine Nase gegeben?,Natürlich. Wir gaben ihm eine große Karotte als Nase.
1319,Natürlich. Wir gaben ihm eine große Karotte als Nase.,"Ich helfe Ihnen, dieses Jahr eines zu machen."
1320,Ich gehe zur Bank.,Was musst du tun?
1321,Was musst du tun?,Ich muss etwas Geld abheben.
1322,Ich muss etwas Geld abheben.,wie wirst du das machen?
1323,wie wirst du das machen?,Ich benutze einfach den Geldautomaten.
1324,Ich benutze einfach den Geldautomaten.,was ist das?
1325,what's that?,Es ist der Geldautomat.
1326,Es ist der Geldautomat.,es gibt dir Geld?
1327,es gibt dir Geld?,Ich stecke einfach meine EC-Karte in den Automaten.
1328,Ich stecke einfach meine EC-Karte in den Automaten.,und es gibt dir Geld?
1329,und es gibt dir Geld?,"Nun, es gibt mir Geld, aber es ist mein eigenes Geld."
1330,"Nun, es gibt mir Geld, aber es ist mein eigenes Geld.","Oh. Was nützt das? Ich dachte, es gäbe dir kostenloses Geld."
1331,Hast du die blaue Tonne auf die Straße gestellt?,Ach nein. Ich habe vergessen.
1332,Ach nein. Ich habe vergessen.,"Nun, du nimmst es besser nach vorne."
1333,"Nun, du nimmst es besser nach vorne.",Wann kommt der Recyclingwagen?
1334,Wann kommt der Recyclingwagen?,"Normalerweise kommt es am Dienstagmittag, also morgen, hier an."
1335,"Normalerweise kommt es am Dienstagmittag, also morgen, hier an.",Ich werde es einfach morgen früh auf die Straße bringen.
1336,Ich werde es einfach morgen früh auf die Straße bringen.,"Oh nein, das tust du nicht."
1337,"Oh nein, das tust du nicht.",Wie meinst du das?
1338,what do you mean?,Jeden Morgen stehst du spät auf und rennst spät zur Arbeit.
1339,Jeden Morgen stehst du spät auf und rennst spät zur Arbeit.,"Glaubst du, ich werde es vergessen?"
1340,"Glaubst du, ich werde es vergessen?","Sie werden daran denken, es zu tun, aber Sie werden keine Zeit dafür haben."
1341,"Sie werden daran denken, es zu tun, aber Sie werden keine Zeit dafür haben.","Okay, ich bringe es gleich nach vorne."
1342,sind Sie bereit?,Bereit für was?
1343,Bereit für was?,Bereit für den großen Wechsel.
1344,Bereit für den großen Wechsel.,Worüber redest du?
1345,Worüber redest du?,Das Land stellt auf digitales Fernsehen um.
1346,Das Land stellt auf digitales Fernsehen um.,Oh. Natürlich bin ich bereit.
1347,Oh. Natürlich bin ich bereit.,Hast du den Konverter gekauft?
1348,Hast du den Konverter gekauft?,"Nein, ich brauche keinen Konverter, weil ich einen Digitalfernseher gekauft habe."
1349,"Nein, ich brauche keinen Konverter, weil ich einen Digitalfernseher gekauft habe.",Wie viel war das?
1350,Wie viel war das?,Für einen 13-Zoll-Bildschirm kostete es nur etwa 120 US-Dollar.
1351,Für einen 13-Zoll-Bildschirm kostete es nur etwa 120 US-Dollar.,Empfängt es digitale Kanäle?
1352,Empfängt es digitale Kanäle?,"Oh ja. Ich habe sechs koreanische Kanäle bekommen, aber nichts auf Englisch!"
1353,Leute sind witzig.,Das sind sie auf jeden Fall.
1354,Das sind sie auf jeden Fall.,Hast du von dem Piloten gehört?
1355,Hast du von dem Piloten gehört?,"derjenige, der ein kleines Flugzeug gestohlen hat?"
1356,"derjenige, der ein kleines Flugzeug gestohlen hat?","Ja, er hat in Kanada ein Flugzeug gestohlen und ist in die USA geflogen."
1357,"Ja, er hat in Kanada ein Flugzeug gestohlen und ist in die USA geflogen.",haben sie ihn erwischt?
1358,haben sie ihn erwischt?,"Ja. nach zwei us. Kampfflugzeuge verfolgten ihn eine Stunde lang, er landete auf einer Autobahn."
1359,"Ja. nach zwei us. Kampfflugzeuge verfolgten ihn eine Stunde lang, er landete auf einer Autobahn.",ist er abgestürzt?
1360,ist er abgestürzt?,"Nein, er ist einfach im Flugzeug gelandet und zu einem Restaurant gelaufen."
1361,"Nein, er ist einfach im Flugzeug gelandet und zu einem Restaurant gelaufen.","Haben die Bullen herausgefunden, warum er in die USA geflogen ist?"
1362,"Haben die Bullen herausgefunden, warum er in die USA geflogen ist?","sein Leben war beschissen. Er hatte gehofft, ein Kampfjet würde ihn abschießen."
1363,"sein Leben war beschissen. Er hatte gehofft, ein Kampfjet würde ihn abschießen.",armer Kerl.
1364,Die Polizei braucht unsere Hilfe bei der Suche nach einem Räuber.,woher weißt du das?
1365,how do you know?,Die Fernsehnachrichten berichten von einem Banküberfall.
1366,Die Fernsehnachrichten berichten von einem Banküberfall.,"Wissen sie, wie der Räuber aussieht?"
1367,"Wissen sie, wie der Räuber aussieht?","Ja, er ist 1,80 Meter groß, 90 Kilogramm schwer, hat schwarze Haare und ist etwa 30 Jahre alt."
1368,"Ja, er ist 1,80 Meter groß, 90 Kilogramm schwer, hat schwarze Haare und ist etwa 30 Jahre alt.",Welcher Rasse gehört er an?
1369,Welcher Rasse gehört er an?,das haben sie nicht gesagt.
1370,das haben sie nicht gesagt.,Die Fernsehnachrichten erzählen uns nicht mehr das Rennen.
1371,Die Fernsehnachrichten erzählen uns nicht mehr das Rennen.,natürlich nicht. das wäre rassistisch.
1372,natürlich nicht. das wäre rassistisch.,"Aber wie können wir jemanden identifizieren, wenn wir seine Rasse nicht kennen?"
1373,"Aber wie können wir jemanden identifizieren, wenn wir seine Rasse nicht kennen?",Frag mich nicht.
1374,Frag mich nicht.,"Dann sollten sie uns auch nicht sagen, ob der Räuber männlich oder weiblich ist, denn das ist sexistisch."
1375,Wischen Sie Ihre Nase nicht am Ärmel ab.,aber ich habe kein Taschentuch.
1376,aber ich habe kein Taschentuch.,Dann suchen Sie sich ein Taschentuch im Badezimmer.
1377,Dann suchen Sie sich ein Taschentuch im Badezimmer.,"Ich hatte keine Zeit, mir dort eins zu besorgen."
